,Time,Hexagon,Buckets,Radius,Device,Percentage
0,Weekday,8843a035a3fffff,322,0.01,Apple,0.049689440993788817
1,Weekday,8843a035a3fffff,322,0.01,Samsung,0.16770186335403728
2,Weekday,8843a035a3fffff,322,0.01,Combined,0.2080745341614907
3,Weekday,8843a035a3fffff,322,0.1,Apple,0.22981366459627328
4,Weekday,8843a035a3fffff,322,0.1,Samsung,0.32919254658385094
5,Weekday,8843a035a3fffff,322,0.1,Combined,0.422360248447205
6,Weekday,8843a035a3fffff,322,0.5,Apple,0.2577639751552795
7,Weekday,8843a035a3fffff,322,0.5,Samsung,0.33229813664596275
8,Weekday,8843a035a3fffff,322,0.5,Combined,0.4440993788819876
9,Weekday,8843a035a3fffff,322,1.0,Apple,0.2608695652173913
10,Weekday,8843a035a3fffff,322,1.0,Samsung,0.33229813664596275
11,Weekday,8843a035a3fffff,322,1.0,Combined,0.4440993788819876
12,Weekday,8843a035a3fffff,322,5.0,Apple,0.2608695652173913
13,Weekday,8843a035a3fffff,322,5.0,Samsung,0.33229813664596275
14,Weekday,8843a035a3fffff,322,5.0,Combined,0.4440993788819876
15,Weekday,8843a022c3fffff,322,0.01,Apple,0.049689440993788817
16,Weekday,8843a022c3fffff,322,0.01,Samsung,0.16770186335403728
17,Weekday,8843a022c3fffff,322,0.01,Combined,0.2080745341614907
18,Weekday,8843a022c3fffff,322,0.1,Apple,0.22981366459627328
19,Weekday,8843a022c3fffff,322,0.1,Samsung,0.32919254658385094
20,Weekday,8843a022c3fffff,322,0.1,Combined,0.422360248447205
21,Weekday,8843a022c3fffff,322,0.5,Apple,0.2577639751552795
22,Weekday,8843a022c3fffff,322,0.5,Samsung,0.33229813664596275
23,Weekday,8843a022c3fffff,322,0.5,Combined,0.4440993788819876
24,Weekday,8843a022c3fffff,322,1.0,Apple,0.2608695652173913
25,Weekday,8843a022c3fffff,322,1.0,Samsung,0.33229813664596275
26,Weekday,8843a022c3fffff,322,1.0,Combined,0.4440993788819876
27,Weekday,8843a022c3fffff,322,5.0,Apple,0.2608695652173913
28,Weekday,8843a022c3fffff,322,5.0,Samsung,0.33229813664596275
29,Weekday,8843a022c3fffff,322,5.0,Combined,0.4440993788819876
30,Weekday,8843a02203fffff,1010,0.01,Apple,0.053465346534653464
31,Weekday,8843a02203fffff,1010,0.01,Samsung,0.08712871287128712
32,Weekday,8843a02203fffff,1010,0.01,Combined,0.1316831683168317
33,Weekday,8843a02203fffff,1010,0.1,Apple,0.18118811881188118
34,Weekday,8843a02203fffff,1010,0.1,Samsung,0.1792079207920792
35,Weekday,8843a02203fffff,1010,0.1,Combined,0.2871287128712871
36,Weekday,8843a02203fffff,1010,0.5,Apple,0.2
37,Weekday,8843a02203fffff,1010,0.5,Samsung,0.1910891089108911
38,Weekday,8843a02203fffff,1010,0.5,Combined,0.3089108910891089
39,Weekday,8843a02203fffff,1010,1.0,Apple,0.200990099009901
40,Weekday,8843a02203fffff,1010,1.0,Samsung,0.19306930693069307
41,Weekday,8843a02203fffff,1010,1.0,Combined,0.3108910891089109
42,Weekday,8843a02203fffff,1010,5.0,Apple,0.20297029702970298
43,Weekday,8843a02203fffff,1010,5.0,Samsung,0.19702970297029704
44,Weekday,8843a02203fffff,1010,5.0,Combined,0.31683168316831684
45,Weekday,8843a02207fffff,322,0.01,Apple,0.049689440993788817
46,Weekday,8843a02207fffff,322,0.01,Samsung,0.16770186335403728
47,Weekday,8843a02207fffff,322,0.01,Combined,0.2080745341614907
48,Weekday,8843a02207fffff,322,0.1,Apple,0.22981366459627328
49,Weekday,8843a02207fffff,322,0.1,Samsung,0.32919254658385094
50,Weekday,8843a02207fffff,322,0.1,Combined,0.422360248447205
51,Weekday,8843a02207fffff,322,0.5,Apple,0.2577639751552795
52,Weekday,8843a02207fffff,322,0.5,Samsung,0.33229813664596275
53,Weekday,8843a02207fffff,322,0.5,Combined,0.4440993788819876
54,Weekday,8843a02207fffff,322,1.0,Apple,0.2608695652173913
55,Weekday,8843a02207fffff,322,1.0,Samsung,0.33229813664596275
56,Weekday,8843a02207fffff,322,1.0,Combined,0.4440993788819876
57,Weekday,8843a02207fffff,322,5.0,Apple,0.2608695652173913
58,Weekday,8843a02207fffff,322,5.0,Samsung,0.33229813664596275
59,Weekday,8843a02207fffff,322,5.0,Combined,0.4440993788819876
60,Weekday,8843a02215fffff,322,0.01,Apple,0.049689440993788817
