,Hexagon,Density,Device,NumBuckets,Percentage
92,8843a02223fffff,Medium Density,Combined,11,0.45454545454545453
93,8843a0204dfffff,Medium Density,Apple,5,0.0
94,8843a0204dfffff,Medium Density,Samsung,5,0.2
95,8843a0204dfffff,Medium Density,Combined,5,0.2
96,8843a02e4dfffff,Medium Density,Apple,3,0.6666666666666666
97,8843a02e4dfffff,Medium Density,Samsung,3,0.6666666666666666
98,8843a02e4dfffff,Medium Density,Combined,3,0.6666666666666666
99,8843a02197fffff,Medium Density,Apple,1,1.0
100,8843a02197fffff,Medium Density,Samsung,1,1.0
101,8843a02197fffff,Medium Density,Combined,1,1.0
102,8843a15a65fffff,Medium Density,Apple,7,0.0
103,8843a15a65fffff,Medium Density,Samsung,7,0.0
104,8843a15a65fffff,Medium Density,Combined,7,0.0
105,8843a02357fffff,Medium Density,Apple,2,1.0
106,8843a02357fffff,Medium Density,Samsung,2,1.0
107,8843a02357fffff,Medium Density,Combined,2,1.0
108,8843acc84bfffff,Medium Density,Apple,2,0.5
109,8843acc84bfffff,Medium Density,Samsung,2,0.5
110,8843acc84bfffff,Medium Density,Combined,2,0.5
111,881e80501bfffff,Medium Density,Apple,8,0.375
112,881e80501bfffff,Medium Density,Samsung,8,0.5
113,881e80501bfffff,Medium Density,Combined,8,0.5
114,881ea24e13fffff,Medium Density,Apple,2,1.0
115,881ea24e13fffff,Medium Density,Samsung,2,1.0
116,881ea24e13fffff,Medium Density,Combined,2,1.0
117,881eb580d1fffff,Medium Density,Apple,5,0.4
118,881eb580d1fffff,Medium Density,Samsung,5,0.4
119,881eb580d1fffff,Medium Density,Combined,5,0.4
120,8843a02031fffff,Medium Density,Apple,1,1.0
121,8843a02031fffff,Medium Density,Samsung,1,0.0
122,8843a02031fffff,Medium Density,Combined,1,1.0
123,8843a02285fffff,Medium Density,Apple,8,0.25
124,8843a02285fffff,Medium Density,Samsung,8,0.5
125,8843a02285fffff,Medium Density,Combined,8,0.5
126,8843a022c5fffff,Medium Density,Apple,6,0.5
127,8843a022c5fffff,Medium Density,Samsung,6,0.6666666666666666
128,8843a022c5fffff,Medium Density,Combined,6,0.6666666666666666
129,881faea805fffff,Medium Density,Apple,2,0.5
130,881faea805fffff,Medium Density,Samsung,2,1.0
131,881faea805fffff,Medium Density,Combined,2,1.0
132,881faea83dfffff,Medium Density,Apple,1,1.0
133,881faea83dfffff,Medium Density,Samsung,1,1.0
134,881faea83dfffff,Medium Density,Combined,1,1.0
135,881f154a5bfffff,Medium Density,Apple,16,0.0
136,881f154a5bfffff,Medium Density,Samsung,16,0.0
137,881f154a5bfffff,Medium Density,Combined,16,0.0
138,881f1558e1fffff,Medium Density,Apple,11,0.09090909090909091
139,881f1558e1fffff,Medium Density,Samsung,11,0.0
140,881f1558e1fffff,Medium Density,Combined,11,0.09090909090909091
141,881f155981fffff,Medium Density,Apple,15,0.13333333333333333
142,881f155981fffff,Medium Density,Samsung,15,0.2
143,881f155981fffff,Medium Density,Combined,15,0.26666666666666666
144,881f155985fffff,Medium Density,Apple,20,0.1
145,881f155985fffff,Medium Density,Samsung,20,0.05
146,881f155985fffff,Medium Density,Combined,20,0.15
147,881f1559abfffff,Medium Density,Apple,51,0.17647058823529413
148,881f1559abfffff,Medium Density,Samsung,51,0.0784313725490196
149,881f1559abfffff,Medium Density,Combined,51,0.21568627450980393
150,881f1559b9fffff,Medium Density,Apple,5,0.4
151,881f1559b9fffff,Medium Density,Samsung,5,0.6
152,881f1559b9fffff,Medium Density,Combined,5,0.6
153,881f155991fffff,Medium Density,Apple,14,0.2857142857142857
154,881f155991fffff,Medium Density,Samsung,14,0.2857142857142857
155,881f155991fffff,Medium Density,Combined,14,0.5
156,881f155997fffff,Medium Density,Apple,7,0.5714285714285714
157,881f155997fffff,Medium Density,Samsung,7,0.42857142857142855
158,881f155997fffff,Medium Density,Combined,7,0.5714285714285714
159,881f155995fffff,Medium Density,Apple,9,0.7777777777777778
160,881f155995fffff,Medium Density,Samsung,9,0.6666666666666666
161,881f155995fffff,Medium Density,Combined,9,0.7777777777777778
162,881f1559e3fffff,Medium Density,Apple,2,0.0
163,881f1559e3fffff,Medium Density,Samsung,2,0.0
164,881f1559e3fffff,Medium Density,Combined,2,0.0
165,881f154a09fffff,Medium Density,Apple,3,0.6666666666666666
166,881f154a09fffff,Medium Density,Samsung,3,0.6666666666666666
167,881f154a09fffff,Medium Density,Combined,3,0.6666666666666666
168,881f154a6dfffff,Medium Density,Apple,2,1.0
169,881f154a6dfffff,Medium Density,Samsung,2,1.0
170,881f154a6dfffff,Medium Density,Combined,2,1.0
171,881f155835fffff,Medium Density,Apple,3,1.0
172,881f155835fffff,Medium Density,Samsung,3,0.3333333333333333
173,881f155835fffff,Medium Density,Combined,3,1.0
174,881f1558b9fffff,Medium Density,Apple,1,0.0
175,881f1558b9fffff,Medium Density,Samsung,1,0.0
176,881f1558b9fffff,Medium Density,Combined,1,0.0
177,881f154869fffff,Medium Density,Apple,1,0.0
178,881f154869fffff,Medium Density,Samsung,1,0.0
179,881f154869fffff,Medium Density,Combined,1,0.0
180,8843a15b43fffff,Medium Density,Apple,4,1.0
181,8843a15b43fffff,Medium Density,Samsung,4,1.0
182,8843a15b43fffff,Medium Density,Combined,4,1.0
183,8843a022c3fffff,Low Density,Apple,41,0.07317073170731707
184,8843a022c3fffff,Low Density,Samsung,41,0.1951219512195122
185,8843a022c3fffff,Low Density,Combined,41,0.24390243902439024
186,8843a02203fffff,Low Density,Apple,68,0.08823529411764706
187,8843a02203fffff,Low Density,Samsung,68,0.16176470588235295
188,8843a02203fffff,Low Density,Combined,68,0.23529411764705882
189,8843a02261fffff,Low Density,Apple,10,0.5
190,8843a02261fffff,Low Density,Samsung,10,0.6
191,8843a02261fffff,Low Density,Combined,10,0.6
192,8843a02289fffff,Low Density,Apple,48,0.5416666666666666
193,8843a02289fffff,Low Density,Samsung,48,0.375
194,8843a02289fffff,Low Density,Combined,48,0.6458333333333334
195,8843a035bdfffff,Low Density,Apple,2,0.5
196,8843a035bdfffff,Low Density,Samsung,2,1.0
197,8843a035bdfffff,Low Density,Combined,2,1.0
198,8843a02009fffff,Low Density,Apple,1,0.0
199,8843a02009fffff,Low Density,Samsung,1,1.0
200,8843a02009fffff,Low Density,Combined,1,1.0
201,8843a1594bfffff,Low Density,Apple,4,0.5
202,8843a1594bfffff,Low Density,Samsung,4,0.75
203,8843a1594bfffff,Low Density,Combined,4,0.75
204,8843a15947fffff,Low Density,Apple,5,0.0
205,8843a15947fffff,Low Density,Samsung,5,0.8
206,8843a15947fffff,Low Density,Combined,5,0.8
207,882a1065a3fffff,Low Density,Apple,5,0.4
208,882a1065a3fffff,Low Density,Samsung,5,0.6
209,882a1065a3fffff,Low Density,Combined,5,0.6
210,882a1065bdfffff,Low Density,Apple,6,0.3333333333333333
211,882a1065bdfffff,Low Density,Samsung,6,0.0
212,882a1065bdfffff,Low Density,Combined,6,0.3333333333333333
213,882a138065fffff,Low Density,Apple,6,0.3333333333333333
214,882a138065fffff,Low Density,Samsung,6,0.3333333333333333
215,882a138065fffff,Low Density,Combined,6,0.3333333333333333
216,882a138069fffff,Low Density,Apple,1,1.0
217,882a138069fffff,Low Density,Samsung,1,0.0
218,882a138069fffff,Low Density,Combined,1,1.0
219,882a1065b9fffff,Low Density,Apple,4,0.5
220,882a1065b9fffff,Low Density,Samsung,4,0.25
221,882a1065b9fffff,Low Density,Combined,4,0.5
222,882a13c4d9fffff,Low Density,Apple,2,0.5
223,882a13c4d9fffff,Low Density,Samsung,2,0.5
224,882a13c4d9fffff,Low Density,Combined,2,0.5
225,882a13c4dbfffff,Low Density,Apple,2,0.0
226,882a13c4dbfffff,Low Density,Samsung,2,0.0
227,882a13c4dbfffff,Low Density,Combined,2,0.0
228,882a13132dfffff,Low Density,Apple,1,1.0
229,882a13132dfffff,Low Density,Samsung,1,0.0
230,882a13132dfffff,Low Density,Combined,1,1.0
231,882a131325fffff,Low Density,Apple,1,0.0
232,882a131325fffff,Low Density,Samsung,1,0.0
233,882a131325fffff,Low Density,Combined,1,0.0
234,882a13c499fffff,Low Density,Apple,1,0.0
235,882a13c499fffff,Low Density,Samsung,1,0.0
236,882a13c499fffff,Low Density,Combined,1,0.0
237,882a13c4d3fffff,Low Density,Apple,1,0.0
238,882a13c4d3fffff,Low Density,Samsung,1,0.0
239,882a13c4d3fffff,Low Density,Combined,1,0.0
240,882a1071abfffff,Low Density,Apple,3,0.6666666666666666
241,882a1071abfffff,Low Density,Samsung,3,0.6666666666666666
242,882a1071abfffff,Low Density,Combined,3,0.6666666666666666
243,882a139187fffff,Low Density,Apple,1,1.0
244,882a139187fffff,Low Density,Samsung,1,1.0
245,882a139187fffff,Low Density,Combined,1,1.0
246,882a103b07fffff,Low Density,Apple,5,0.0
247,882a103b07fffff,Low Density,Samsung,5,0.6
248,882a103b07fffff,Low Density,Combined,5,0.6
249,882a103b03fffff,Low Density,Apple,3,0.0
250,882a103b03fffff,Low Density,Samsung,3,1.0
251,882a103b03fffff,Low Density,Combined,3,1.0
252,881f99db41fffff,Low Density,Apple,4,1.0
253,881f99db41fffff,Low Density,Samsung,4,1.0
254,881f99db41fffff,Low Density,Combined,4,1.0
255,881f985095fffff,Low Density,Apple,3,0.6666666666666666
256,881f985095fffff,Low Density,Samsung,3,0.6666666666666666
257,881f985095fffff,Low Density,Combined,3,0.6666666666666666
258,881e9d806bfffff,Low Density,Apple,4,1.0
259,881e9d806bfffff,Low Density,Samsung,4,0.75
260,881e9d806bfffff,Low Density,Combined,4,1.0
261,8843a02741fffff,Low Density,Apple,215,0.8558139534883721
262,8843a02741fffff,Low Density,Samsung,215,0.31627906976744186
263,8843a02741fffff,Low Density,Combined,215,0.8837209302325582
264,8843a02231fffff,Low Density,Apple,34,0.058823529411764705
265,8843a02231fffff,Low Density,Samsung,34,0.08823529411764706
266,8843a02231fffff,Low Density,Combined,34,0.11764705882352941
267,8843a022e1fffff,Low Density,Apple,19,0.15789473684210525
268,8843a022e1fffff,Low Density,Samsung,19,0.3684210526315789
269,8843a022e1fffff,Low Density,Combined,19,0.47368421052631576
270,8843a02217fffff,Low Density,Apple,21,0.38095238095238093
271,8843a02217fffff,Low Density,Samsung,21,0.38095238095238093
272,8843a02217fffff,Low Density,Combined,21,0.47619047619047616
273,8843a04217fffff,Low Density,Apple,1,1.0
274,8843a04217fffff,Low Density,Samsung,1,0.0
275,8843a04217fffff,Low Density,Combined,1,1.0
276,8843a02287fffff,Low Density,Apple,5,0.4
277,8843a02287fffff,Low Density,Samsung,5,0.0
278,8843a02287fffff,Low Density,Combined,5,0.4
279,8843a0205bfffff,Low Density,Apple,9,0.3333333333333333
280,8843a0205bfffff,Low Density,Samsung,9,0.3333333333333333
281,8843a0205bfffff,Low Density,Combined,9,0.3333333333333333
282,8843a0223dfffff,Low Density,Apple,8,0.125
283,8843a0223dfffff,Low Density,Samsung,8,0.25
284,8843a0223dfffff,Low Density,Combined,8,0.375
285,8843a02149fffff,Low Density,Apple,4,0.75
286,8843a02149fffff,Low Density,Samsung,4,0.75
287,8843a02149fffff,Low Density,Combined,4,1.0
288,8843a02323fffff,Low Density,Apple,4,1.0
289,8843a02323fffff,Low Density,Samsung,4,0.5
290,8843a02323fffff,Low Density,Combined,4,1.0
291,8843a02f59fffff,Low Density,Apple,4,1.0
292,8843a02f59fffff,Low Density,Samsung,4,1.0
293,8843a02f59fffff,Low Density,Combined,4,1.0
294,881e8625abfffff,Low Density,Apple,8,0.875
295,881e8625abfffff,Low Density,Samsung,8,0.75
296,881e8625abfffff,Low Density,Combined,8,0.875
297,881e8625bdfffff,Low Density,Apple,2,0.5
298,881e8625bdfffff,Low Density,Samsung,2,0.5
299,881e8625bdfffff,Low Density,Combined,2,0.5
300,881e805085fffff,Low Density,Apple,2,1.0
301,881e805085fffff,Low Density,Samsung,2,1.0
302,881e805085fffff,Low Density,Combined,2,1.0
303,881ea2794bfffff,Low Density,Apple,3,0.6666666666666666
304,881ea2794bfffff,Low Density,Samsung,3,0.6666666666666666
305,881ea2794bfffff,Low Density,Combined,3,0.6666666666666666
306,881eb582b7fffff,Low Density,Apple,4,0.0
307,881eb582b7fffff,Low Density,Samsung,4,0.0
308,881eb582b7fffff,Low Density,Combined,4,0.0
309,881eb580ddfffff,Low Density,Apple,4,0.5
310,881eb580ddfffff,Low Density,Samsung,4,0.75
311,881eb580ddfffff,Low Density,Combined,4,0.75
312,881eb58215fffff,Low Density,Apple,3,1.0
313,881eb58215fffff,Low Density,Samsung,3,1.0
314,881eb58215fffff,Low Density,Combined,3,1.0
315,881eb582e3fffff,Low Density,Apple,2,1.0
316,881eb582e3fffff,Low Density,Samsung,2,1.0
317,881eb582e3fffff,Low Density,Combined,2,1.0
318,881f9b1213fffff,Low Density,Apple,6,1.0
319,881f9b1213fffff,Low Density,Samsung,6,1.0
320,881f9b1213fffff,Low Density,Combined,6,1.0
321,881f99d643fffff,Low Density,Apple,10,0.1
322,881f99d643fffff,Low Density,Samsung,10,0.1
323,881f99d643fffff,Low Density,Combined,10,0.2
324,881f9d6089fffff,Low Density,Apple,6,0.5
325,881f9d6089fffff,Low Density,Samsung,6,0.5
326,881f9d6089fffff,Low Density,Combined,6,0.6666666666666666
327,881f9d609dfffff,Low Density,Apple,1,0.0
328,881f9d609dfffff,Low Density,Samsung,1,0.0
329,881f9d609dfffff,Low Density,Combined,1,0.0
330,881f9d7559fffff,Low Density,Apple,2,1.0
331,881f9d7559fffff,Low Density,Samsung,2,1.0
332,881f9d7559fffff,Low Density,Combined,2,1.0
333,881f9d754bfffff,Low Density,Apple,3,0.3333333333333333
334,881f9d754bfffff,Low Density,Samsung,3,0.0
335,881f9d754bfffff,Low Density,Combined,3,0.3333333333333333
336,881f9d7541fffff,Low Density,Apple,3,1.0
337,881f9d7541fffff,Low Density,Samsung,3,1.0
338,881f9d7541fffff,Low Density,Combined,3,1.0
339,8843a02211fffff,Low Density,Apple,3,0.6666666666666666
340,8843a02211fffff,Low Density,Samsung,3,0.3333333333333333
341,8843a02211fffff,Low Density,Combined,3,0.6666666666666666
342,881f154b4bfffff,Low Density,Apple,1,1.0
343,881f154b4bfffff,Low Density,Samsung,1,0.0
344,881f154b4bfffff,Low Density,Combined,1,1.0
345,881f15410dfffff,Low Density,Apple,1,1.0
346,881f15410dfffff,Low Density,Samsung,1,1.0
347,881f15410dfffff,Low Density,Combined,1,1.0
348,8843a02351fffff,High Density,Apple,3,1.0
349,8843a02351fffff,High Density,Samsung,3,1.0
350,8843a02351fffff,High Density,Combined,3,1.0
351,88424d054dfffff,High Density,Apple,3,0.3333333333333333
352,88424d054dfffff,High Density,Samsung,3,0.3333333333333333
353,88424d054dfffff,High Density,Combined,3,0.3333333333333333
354,88424d3a4dfffff,High Density,Apple,2,1.0
355,88424d3a4dfffff,High Density,Samsung,2,1.0
356,88424d3a4dfffff,High Density,Combined,2,1.0
357,882a1348b1fffff,High Density,Apple,2,0.0
358,882a1348b1fffff,High Density,Samsung,2,0.5
359,882a1348b1fffff,High Density,Combined,2,0.5
360,882a106f4bfffff,High Density,Apple,2,0.0
361,882a106f4bfffff,High Density,Samsung,2,0.5
362,882a106f4bfffff,High Density,Combined,2,0.5
363,881f985b11fffff,High Density,Apple,8,0.125
364,881f985b11fffff,High Density,Samsung,8,0.125
365,881f985b11fffff,High Density,Combined,8,0.25
366,881f98402dfffff,High Density,Apple,2,1.0
367,881f98402dfffff,High Density,Samsung,2,1.0
368,881f98402dfffff,High Density,Combined,2,1.0
369,881f984035fffff,High Density,Apple,1,0.0
370,881f984035fffff,High Density,Samsung,1,0.0
371,881f984035fffff,High Density,Combined,1,0.0
372,881f984031fffff,High Density,Apple,3,1.0
373,881f984031fffff,High Density,Samsung,3,0.6666666666666666
374,881f984031fffff,High Density,Combined,3,1.0
375,881f98403bfffff,High Density,Apple,1,1.0
376,881f98403bfffff,High Density,Samsung,1,1.0
377,881f98403bfffff,High Density,Combined,1,1.0
378,881f984033fffff,High Density,Apple,2,1.0
379,881f984033fffff,High Density,Samsung,2,0.0
380,881f984033fffff,High Density,Combined,2,1.0
381,881f985b19fffff,High Density,Apple,2,0.0
382,881f985b19fffff,High Density,Samsung,2,0.0
383,881f985b19fffff,High Density,Combined,2,0.0
384,881e9d822bfffff,High Density,Apple,7,0.7142857142857143
385,881e9d822bfffff,High Density,Samsung,7,0.5714285714285714
386,881e9d822bfffff,High Density,Combined,7,0.7142857142857143
387,881e9d8225fffff,High Density,Apple,24,0.7083333333333334
388,881e9d8225fffff,High Density,Samsung,24,0.5833333333333334
389,881e9d8225fffff,High Density,Combined,24,0.75
390,881e9d831bfffff,High Density,Apple,22,0.09090909090909091
391,881e9d831bfffff,High Density,Samsung,22,0.09090909090909091
392,881e9d831bfffff,High Density,Combined,22,0.18181818181818182
393,881e9d8313fffff,High Density,Apple,36,0.2222222222222222
394,881e9d8313fffff,High Density,Samsung,36,0.05555555555555555
395,881e9d8313fffff,High Density,Combined,36,0.25
396,881e9d8317fffff,High Density,Apple,23,0.6521739130434783
397,881e9d8317fffff,High Density,Samsung,23,0.391304347826087
398,881e9d8317fffff,High Density,Combined,23,0.6956521739130435
399,881e9d8311fffff,High Density,Apple,38,0.23684210526315788
400,881e9d8311fffff,High Density,Samsung,38,0.2894736842105263
401,881e9d8311fffff,High Density,Combined,38,0.3684210526315789
402,881e9d831dfffff,High Density,Apple,8,0.125
403,881e9d831dfffff,High Density,Samsung,8,0.0
404,881e9d831dfffff,High Density,Combined,8,0.125
405,881e9d8303fffff,High Density,Apple,10,0.1
406,881e9d8303fffff,High Density,Samsung,10,0.2
407,881e9d8303fffff,High Density,Combined,10,0.2
408,881e9d8307fffff,High Density,Apple,12,0.5833333333333334
409,881e9d8307fffff,High Density,Samsung,12,0.4166666666666667
410,881e9d8307fffff,High Density,Combined,12,0.5833333333333334
411,881e9d8305fffff,High Density,Apple,4,0.5
412,881e9d8305fffff,High Density,Samsung,4,0.25
413,881e9d8305fffff,High Density,Combined,4,0.5
414,881e8328adfffff,High Density,Apple,1,0.0
415,881e8328adfffff,High Density,Samsung,1,1.0
416,881e8328adfffff,High Density,Combined,1,1.0
417,881e8328e7fffff,High Density,Apple,1,1.0
418,881e8328e7fffff,High Density,Samsung,1,1.0
419,881e8328e7fffff,High Density,Combined,1,1.0
420,881f99cce5fffff,High Density,Apple,5,1.0
421,881f99cce5fffff,High Density,Samsung,5,1.0
422,881f99cce5fffff,High Density,Combined,5,1.0
423,8843a136c7fffff,High Density,Apple,2,1.0
424,8843a136c7fffff,High Density,Samsung,2,1.0
425,8843a136c7fffff,High Density,Combined,2,1.0
426,881e805019fffff,High Density,Apple,3,0.3333333333333333
427,881e805019fffff,High Density,Samsung,3,0.3333333333333333
428,881e805019fffff,High Density,Combined,3,0.3333333333333333
429,881e8052a5fffff,High Density,Apple,11,0.45454545454545453
430,881e8052a5fffff,High Density,Samsung,11,0.45454545454545453
431,881e8052a5fffff,High Density,Combined,11,0.5454545454545454
432,881e8052a7fffff,High Density,Apple,12,0.08333333333333333
433,881e8052a7fffff,High Density,Samsung,12,0.25
434,881e8052a7fffff,High Density,Combined,12,0.25
435,881e8052a1fffff,High Density,Apple,9,0.4444444444444444
436,881e8052a1fffff,High Density,Samsung,9,0.8888888888888888
437,881e8052a1fffff,High Density,Combined,9,1.0
438,881e8052adfffff,High Density,Apple,4,1.0
439,881e8052adfffff,High Density,Samsung,4,1.0
440,881e8052adfffff,High Density,Combined,4,1.0
441,881e8052a3fffff,High Density,Apple,8,0.375
442,881e8052a3fffff,High Density,Samsung,8,0.625
443,881e8052a3fffff,High Density,Combined,8,0.75
444,881e805053fffff,High Density,Apple,5,0.6
445,881e805053fffff,High Density,Samsung,5,0.8
446,881e805053fffff,High Density,Combined,5,0.8
447,881e805051fffff,High Density,Apple,3,0.6666666666666666
448,881e805051fffff,High Density,Samsung,3,1.0
449,881e805051fffff,High Density,Combined,3,1.0
450,881e805059fffff,High Density,Apple,2,0.5
451,881e805059fffff,High Density,Samsung,2,0.5
452,881e805059fffff,High Density,Combined,2,0.5
453,881e8050c9fffff,High Density,Apple,3,0.0
454,881e8050c9fffff,High Density,Samsung,3,0.6666666666666666
455,881e8050c9fffff,High Density,Combined,3,0.6666666666666666
456,881ea20105fffff,High Density,Apple,5,0.6
457,881ea20105fffff,High Density,Samsung,5,0.4
458,881ea20105fffff,High Density,Combined,5,0.6
459,881ea2012bfffff,High Density,Apple,11,0.5454545454545454
460,881ea2012bfffff,High Density,Samsung,11,0.7272727272727273
461,881ea2012bfffff,High Density,Combined,11,0.8181818181818182
462,881ea2013dfffff,High Density,Apple,9,0.0
