,Time,Hexagon,Buckets,Radius,Device,Percentage
108,Morning,881e9d8313fffff,1,0.1,Apple,0.0
109,Morning,881e9d8313fffff,1,0.1,Samsung,0.0
110,Morning,881e9d8313fffff,1,0.1,Combined,0.0
111,Morning,881e9d8313fffff,1,0.5,Apple,0.0
112,Morning,881e9d8313fffff,1,0.5,Samsung,0.0
113,Morning,881e9d8313fffff,1,0.5,Combined,0.0
114,Morning,881e9d8313fffff,1,1.0,Apple,0.0
115,Morning,881e9d8313fffff,1,1.0,Samsung,0.0
116,Morning,881e9d8313fffff,1,1.0,Combined,0.0
117,Morning,881e9d8313fffff,1,5.0,Apple,0.0
118,Morning,881e9d8313fffff,1,5.0,Samsung,0.0
119,Morning,881e9d8313fffff,1,5.0,Combined,0.0
120,Morning,881e9d8311fffff,4,0.01,Apple,0.0
121,Morning,881e9d8311fffff,4,0.01,Samsung,0.0
122,Morning,881e9d8311fffff,4,0.01,Combined,0.0
123,Morning,881e9d8311fffff,4,0.1,Apple,0.0
124,Morning,881e9d8311fffff,4,0.1,Samsung,0.0
125,Morning,881e9d8311fffff,4,0.1,Combined,0.0
126,Morning,881e9d8311fffff,4,0.5,Apple,0.0
127,Morning,881e9d8311fffff,4,0.5,Samsung,0.0
128,Morning,881e9d8311fffff,4,0.5,Combined,0.0
129,Morning,881e9d8311fffff,4,1.0,Apple,0.0
130,Morning,881e9d8311fffff,4,1.0,Samsung,0.0
131,Morning,881e9d8311fffff,4,1.0,Combined,0.0
132,Morning,881e9d8311fffff,4,5.0,Apple,0.0
133,Morning,881e9d8311fffff,4,5.0,Samsung,0.0
134,Morning,881e9d8311fffff,4,5.0,Combined,0.0
135,Morning,881e9d8319fffff,1,0.01,Apple,0.0
136,Morning,881e9d8319fffff,1,0.01,Samsung,0.0
137,Morning,881e9d8319fffff,1,0.01,Combined,0.0
138,Morning,881e9d8319fffff,1,0.1,Apple,0.0
139,Morning,881e9d8319fffff,1,0.1,Samsung,0.0
140,Morning,881e9d8319fffff,1,0.1,Combined,0.0
141,Morning,881e9d8319fffff,1,0.5,Apple,0.0
142,Morning,881e9d8319fffff,1,0.5,Samsung,0.0
143,Morning,881e9d8319fffff,1,0.5,Combined,0.0
144,Morning,881e9d8319fffff,1,1.0,Apple,0.0
