,User,Country,Device,Time,Distance,Percentage
100,Rohail,UAE,Samsung,60,2.5,0.13125
101,Rohail,UAE,Combined,60,2.5,0.228125
102,Rohail,UAE,Apple,60,2.6,0.12125
103,Rohail,UAE,Samsung,60,2.6,0.13125
104,Rohail,UAE,Combined,60,2.6,0.228125
105,Rohail,UAE,Apple,60,2.7,0.12125
106,Rohail,UAE,Samsung,60,2.7,0.13125
107,Rohail,UAE,Combined,60,2.7,0.228125
108,Rohail,UAE,Apple,60,2.8000000000000003,0.12125
109,Rohail,UAE,Samsung,60,2.8000000000000003,0.13125
110,Rohail,UAE,Combined,60,2.8000000000000003,0.228125
111,Rohail,UAE,Apple,60,2.9000000000000004,0.12125
112,Rohail,UAE,Samsung,60,2.9000000000000004,0.13125
113,Rohail,UAE,Combined,60,2.9000000000000004,0.228125
114,Rohail,UAE,Apple,60,3.0,0.12125
115,Rohail,UAE,Samsung,60,3.0,0.13125
116,Rohail,UAE,Combined,60,3.0,0.228125
117,Rohail,UAE,Apple,60,3.1,0.12125
118,Rohail,UAE,Samsung,60,3.1,0.13125
119,Rohail,UAE,Combined,60,3.1,0.228125
120,Rohail,UAE,Apple,60,3.2,0.12125
121,Rohail,UAE,Samsung,60,3.2,0.13125
122,Rohail,UAE,Combined,60,3.2,0.228125
123,Rohail,UAE,Apple,60,3.3000000000000003,0.12125
124,Rohail,UAE,Samsung,60,3.3000000000000003,0.13125
125,Rohail,UAE,Combined,60,3.3000000000000003,0.228125
126,Rohail,UAE,Apple,60,3.4000000000000004,0.12125
127,Rohail,UAE,Samsung,60,3.4000000000000004,0.13125
128,Rohail,UAE,Combined,60,3.4000000000000004,0.228125
129,Rohail,UAE,Apple,60,3.5,0.12125
130,Rohail,UAE,Samsung,60,3.5,0.13125
131,Rohail,UAE,Combined,60,3.5,0.228125
132,Rohail,UAE,Apple,60,3.6,0.12125
133,Rohail,UAE,Samsung,60,3.6,0.13125
134,Rohail,UAE,Combined,60,3.6,0.228125
135,Rohail,UAE,Apple,60,3.7,0.12125
136,Rohail,UAE,Samsung,60,3.7,0.13125
137,Rohail,UAE,Combined,60,3.7,0.228125
138,Rohail,UAE,Apple,60,3.8000000000000003,0.12125
139,Rohail,UAE,Samsung,60,3.8000000000000003,0.13125
140,Rohail,UAE,Combined,60,3.8000000000000003,0.228125
141,Rohail,UAE,Apple,60,3.9000000000000004,0.12125
142,Rohail,UAE,Samsung,60,3.9000000000000004,0.13125
143,Rohail,UAE,Combined,60,3.9000000000000004,0.228125
144,Rohail,UAE,Apple,60,4.0,0.12125
145,Rohail,UAE,Samsung,60,4.0,0.13125
146,Rohail,UAE,Combined,60,4.0,0.228125
147,Rohail,UAE,Apple,60,4.1000000000000005,0.12125
148,Rohail,UAE,Samsung,60,4.1000000000000005,0.13125
149,Rohail,UAE,Combined,60,4.1000000000000005,0.228125
150,Rohail,UAE,Apple,60,4.2,0.12125
151,Rohail,UAE,Samsung,60,4.2,0.13125
152,Rohail,UAE,Combined,60,4.2,0.228125
153,Rohail,UAE,Apple,60,4.3,0.12125
154,Rohail,UAE,Samsung,60,4.3,0.13125
155,Rohail,UAE,Combined,60,4.3,0.228125
156,Rohail,UAE,Apple,60,4.4,0.12125
157,Rohail,UAE,Samsung,60,4.4,0.13125
158,Rohail,UAE,Combined,60,4.4,0.228125
159,Rohail,UAE,Apple,60,4.5,0.12125
160,Rohail,UAE,Samsung,60,4.5,0.13125
161,Rohail,UAE,Combined,60,4.5,0.228125
162,Rohail,UAE,Apple,60,4.6000000000000005,0.12125
163,Rohail,UAE,Samsung,60,4.6000000000000005,0.13125
164,Rohail,UAE,Combined,60,4.6000000000000005,0.228125
165,Rohail,UAE,Apple,60,4.7,0.12125
166,Rohail,UAE,Samsung,60,4.7,0.13125
167,Rohail,UAE,Combined,60,4.7,0.228125
168,Rohail,UAE,Apple,60,4.800000000000001,0.12125
169,Rohail,UAE,Samsung,60,4.800000000000001,0.13125
170,Rohail,UAE,Combined,60,4.800000000000001,0.228125
171,Rohail,UAE,Apple,60,4.9,0.12125
172,Rohail,UAE,Samsung,60,4.9,0.13125
173,Rohail,UAE,Combined,60,4.9,0.228125
174,Rohail,UAE,Apple,60,5.0,0.12125
175,Rohail,UAE,Samsung,60,5.0,0.13125
176,Rohail,UAE,Combined,60,5.0,0.228125
177,Rohail,UAE,Apple,600,0.01,0.13978494623655913
178,Rohail,UAE,Samsung,600,0.01,0.27598566308243727
179,Rohail,UAE,Combined,600,0.01,0.36200716845878134
180,Rohail,UAE,Apple,600,0.02,0.1971326164874552
181,Rohail,UAE,Samsung,600,0.02,0.3942652329749104
182,Rohail,UAE,Combined,600,0.02,0.46236559139784944
183,Rohail,UAE,Apple,600,0.03,0.2867383512544803
184,Rohail,UAE,Samsung,600,0.03,0.44802867383512546
185,Rohail,UAE,Combined,600,0.03,0.5017921146953405
186,Rohail,UAE,Apple,600,0.04,0.32616487455197135
187,Rohail,UAE,Samsung,600,0.04,0.4659498207885305
188,Rohail,UAE,Combined,600,0.04,0.5304659498207885
189,Rohail,UAE,Apple,600,0.05,0.32974910394265233
190,Rohail,UAE,Samsung,600,0.05,0.4731182795698925
191,Rohail,UAE,Combined,600,0.05,0.5340501792114696
192,Rohail,UAE,Apple,600,0.06,0.34767025089605735
193,Rohail,UAE,Samsung,600,0.06,0.4767025089605735
194,Rohail,UAE,Combined,600,0.06,0.5412186379928315
195,Rohail,UAE,Apple,600,0.07,0.35842293906810035
196,Rohail,UAE,Samsung,600,0.07,0.48028673835125446
197,Rohail,UAE,Combined,600,0.07,0.5448028673835126
198,Rohail,UAE,Apple,600,0.08,0.35842293906810035
199,Rohail,UAE,Samsung,600,0.08,0.4874551971326165
